2026-03-28T03:20:25.467631+0530 | INFO | ============================================================
2026-03-28T03:20:25.467886+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:20:25.467962+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:20:25.468040+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:20:25.468131+0530 | INFO | ============================================================
2026-03-28T03:20:29.098047+0530 | INFO | ============================================================
2026-03-28T03:20:29.098327+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:20:29.099045+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:20:29.099116+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:20:29.099161+0530 | INFO | ============================================================
2026-03-28T03:20:50.223413+0530 | INFO | ============================================================
2026-03-28T03:20:50.223722+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:20:50.223799+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:20:50.223859+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:20:50.223907+0530 | INFO | ============================================================
2026-03-28T03:21:11.031023+0530 | INFO | ============================================================
2026-03-28T03:21:11.031253+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:21:11.031315+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:21:11.031356+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:21:11.031390+0530 | INFO | ============================================================
2026-03-28T03:21:53.846949+0530 | INFO | ============================================================
2026-03-28T03:21:53.847273+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:21:53.847745+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:21:53.847868+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:21:53.847969+0530 | INFO | ============================================================
2026-03-28T03:22:00.560759+0530 | INFO | GET /api/health → 200
2026-03-28T03:22:04.738091+0530 | INFO | Words for 'RE': ['REST', 'REACT', 'REDIS', 'REDUCE', 'REQUEST', 'RESPONSE']
2026-03-28T03:22:04.738732+0530 | INFO | GET /api/words → 200
2026-03-28T03:22:04.932762+0530 | INFO | Demo data loaded: ['demo-session-A', 'demo-session-B', 'demo-session-C']
2026-03-28T03:22:04.933416+0530 | INFO | POST /api/demo/load → 200
2026-03-28T03:31:53.031734+0530 | INFO | ============================================================
2026-03-28T03:31:53.032059+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:31:53.032126+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:31:53.032170+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:31:53.032207+0530 | INFO | ============================================================
2026-03-28T03:32:28.775322+0530 | INFO | ============================================================
2026-03-28T03:32:28.775638+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:32:28.775787+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:32:28.775876+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:32:28.775954+0530 | INFO | ============================================================
2026-03-28T03:32:29.103851+0530 | INFO | GET /api/health → 200
2026-03-28T03:32:33.322736+0530 | ERROR | Groq question generation failed: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}
2026-03-28T03:32:33.332875+0530 | INFO | Session 2a81e357-fcf1-4811-adc1-55c0e4d964e6 started — Role: Python Developer
2026-03-28T03:32:33.335174+0530 | INFO | POST /api/session/start → 200
2026-03-28T03:32:38.293332+0530 | ERROR | Groq question generation failed: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}
2026-03-28T03:32:38.300499+0530 | INFO | Session 2800a6d0-6224-451c-b2f9-eb8c3832a6c9 started — Role: Backend Engineer
2026-03-28T03:32:38.301263+0530 | INFO | POST /api/session/start → 200
2026-03-28T03:36:40.187668+0530 | INFO | GET /api/health → 200
2026-03-28T03:36:41.215443+0530 | ERROR | Groq question generation failed: Error code: 401 - {'error': {'message': 'Invalid API Key', 'type': 'invalid_request_error', 'code': 'invalid_api_key'}}
2026-03-28T03:36:41.223456+0530 | INFO | Session 0eb00dfe-aff7-4da7-acbd-8fa70d9f06e3 started — Role: Full Stack Developer
2026-03-28T03:36:41.224088+0530 | INFO | POST /api/session/start → 200
2026-03-28T03:41:17.840247+0530 | INFO | ============================================================
2026-03-28T03:41:17.840641+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:41:17.840801+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:41:17.840931+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:41:17.841057+0530 | INFO | ============================================================
2026-03-28T03:41:45.628580+0530 | INFO | ============================================================
2026-03-28T03:41:45.629168+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:41:45.629487+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:41:45.629747+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:41:45.629980+0530 | INFO | ============================================================
2026-03-28T03:41:51.440024+0530 | INFO | GET /api/health → 200
2026-03-28T03:41:56.054005+0530 | INFO | Question 1 generated for Machine Learning Engineer
2026-03-28T03:41:56.069875+0530 | INFO | Session f04b637f-5603-4cc1-9999-234eeb7fb422 started — Role: Machine Learning Engineer
2026-03-28T03:41:56.070773+0530 | INFO | POST /api/session/start → 200
2026-03-28T03:43:40.810537+0530 | INFO | ============================================================
2026-03-28T03:43:40.811006+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:43:40.811333+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:43:40.811593+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:43:40.811843+0530 | INFO | ============================================================
2026-03-28T03:47:58.801888+0530 | INFO | ============================================================
2026-03-28T03:47:58.803090+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:47:58.803442+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:47:58.803667+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:47:58.803918+0530 | INFO | ============================================================
2026-03-28T03:48:04.288097+0530 | INFO | GET /api/health → 200
2026-03-28T03:48:09.971592+0530 | INFO | Question 1 generated for Full Stack Developer
2026-03-28T03:48:09.993115+0530 | INFO | Session 81fb2e11-3d6c-4e6d-9d2b-97959a924550 started — Role: Full Stack Developer
2026-03-28T03:48:09.995786+0530 | INFO | POST /api/session/start → 200
2026-03-28T03:48:09.998168+0530 | INFO | Words for 'PY': ['PYTHON']
2026-03-28T03:48:09.999181+0530 | INFO | GET /api/words → 200
2026-03-28T03:48:12.583395+0530 | INFO | POST /api/gesture → 422
2026-03-28T03:48:20.140552+0530 | INFO | Gesture: Z (0.17)
2026-03-28T03:48:20.141278+0530 | INFO | Gesture: Z conf=0.17
2026-03-28T03:48:20.141781+0530 | INFO | POST /api/gesture → 200
2026-03-28T03:48:24.755518+0530 | INFO | Words for 'RES': ['REST', 'RESPONSE']
2026-03-28T03:48:24.756201+0530 | INFO | GET /api/words → 200
2026-03-28T03:48:25.259699+0530 | INFO | Words for 'PY': ['PYTHON']
2026-03-28T03:48:25.260419+0530 | INFO | GET /api/words → 200
2026-03-28T03:48:29.495547+0530 | INFO | Demo data loaded: []
2026-03-28T03:48:29.496284+0530 | INFO | POST /api/demo/load → 200
2026-03-28T03:48:38.833871+0530 | INFO | Words for 'DE': ['DEBUG', 'DESIGN', 'DEPLOY', 'DESCRIBE']
2026-03-28T03:48:38.835327+0530 | INFO | GET /api/words → 200
2026-03-28T03:48:39.046953+0530 | INFO | Words for 'BA': ['BACKEND']
2026-03-28T03:48:39.047471+0530 | INFO | GET /api/words → 200
2026-03-28T03:50:14.272911+0530 | INFO | ============================================================
2026-03-28T03:50:14.273344+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:50:14.273561+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:50:14.273802+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:50:14.274039+0530 | INFO | ============================================================
2026-03-28T03:50:56.660407+0530 | INFO | OPTIONS /api/recruiter/signup → 200
2026-03-28T03:50:56.857337+0530 | ERROR | Unhandled: POST /api/recruiter/signup — password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-03-28T03:51:19.088786+0530 | INFO | GET /api/health → 200
2026-03-28T03:51:23.711852+0530 | ERROR | Unhandled: POST /api/recruiter/signup — password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-03-28T03:51:29.496563+0530 | ERROR | Unhandled: POST /api/recruiter/signup — password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-03-28T03:54:17.994481+0530 | INFO | ============================================================
2026-03-28T03:54:17.994931+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:54:17.995262+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:54:17.995539+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:54:17.995844+0530 | INFO | ============================================================
2026-03-28T03:54:18.807780+0530 | INFO | GET /api/health → 200
2026-03-28T03:54:23.256526+0530 | ERROR | Password generation failed: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-03-28T03:54:23.258084+0530 | INFO | POST /api/recruiter/signup → 500
2026-03-28T03:55:07.979854+0530 | INFO | ============================================================
2026-03-28T03:55:07.980339+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:55:07.980647+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:55:07.980890+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:55:07.981147+0530 | INFO | ============================================================
2026-03-28T03:55:09.279317+0530 | INFO | Session created for recruiter_id=1
2026-03-28T03:55:09.279857+0530 | INFO | New recruiter: test456@example.com | NeuralHire
2026-03-28T03:55:09.281534+0530 | INFO | POST /api/recruiter/signup → 200
2026-03-28T03:55:11.390375+0530 | ERROR | Welcome email failed for test456@example.com: The neuralhire.ai domain is not verified. Please, add and verify your domain on https://resend.com/domains
2026-03-28T03:55:14.657902+0530 | INFO | Session created for recruiter_id=1
2026-03-28T03:55:14.658792+0530 | INFO | Recruiter login: test456@example.com
2026-03-28T03:55:14.660310+0530 | INFO | POST /api/recruiter/login → 200
2026-03-28T03:58:07.464164+0530 | INFO | ============================================================
2026-03-28T03:58:07.464963+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T03:58:07.465346+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T03:58:07.465583+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T03:58:07.465762+0530 | INFO | ============================================================
2026-03-28T03:58:40.845398+0530 | INFO | Session created for recruiter_id=2
2026-03-28T03:58:40.846192+0530 | INFO | New recruiter: tarunkumarsv60@gmail.com | acme
2026-03-28T03:58:40.849180+0530 | INFO | POST /api/recruiter/signup → 200
2026-03-28T03:58:42.367630+0530 | ERROR | Welcome email failed for tarunkumarsv60@gmail.com: The neuralhire.ai domain is not verified. Please, add and verify your domain on https://resend.com/domains
2026-03-28T03:58:52.452610+0530 | INFO | OPTIONS /api/recruiter/sessions → 200
2026-03-28T03:58:52.455878+0530 | INFO | OPTIONS /api/recruiter/sessions → 200
2026-03-28T03:58:52.457802+0530 | INFO | GET /api/recruiter/sessions → 404
2026-03-28T03:58:52.459437+0530 | INFO | GET /api/recruiter/sessions → 404
2026-03-28T03:59:09.088286+0530 | INFO | OPTIONS /api/auth/recruiter/login → 200
2026-03-28T03:59:09.089788+0530 | INFO | POST /api/auth/recruiter/login → 404
2026-03-28T03:59:16.726718+0530 | INFO | POST /api/auth/recruiter/login → 404
2026-03-28T03:59:17.214210+0530 | INFO | POST /api/auth/recruiter/login → 404
2026-03-28T03:59:28.228210+0530 | INFO | GET /api/recruiter/sessions → 404
2026-03-28T03:59:28.230030+0530 | INFO | GET /api/recruiter/sessions → 404
2026-03-28T04:00:00.382040+0530 | INFO | GET /api/health → 200
2026-03-28T04:00:06.191234+0530 | INFO | Session created for recruiter_id=1
2026-03-28T04:00:06.191593+0530 | INFO | Recruiter login: test456@example.com
2026-03-28T04:00:06.193092+0530 | INFO | POST /api/recruiter/login → 200
2026-03-28T04:00:10.869519+0530 | INFO | Recruiter test456@example.com fetched 0 candidates
2026-03-28T04:00:10.870055+0530 | INFO | GET /api/recruiter/candidates → 200
2026-03-28T04:00:15.638899+0530 | INFO | OPTIONS /api/recruiter/login → 200
2026-03-28T04:00:50.166020+0530 | INFO | ============================================================
2026-03-28T04:00:50.166479+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T04:00:50.166712+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T04:00:50.166889+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T04:00:50.167054+0530 | INFO | ============================================================
2026-03-28T04:00:50.569232+0530 | INFO | GET /api/health → 200
2026-03-28T04:00:55.539568+0530 | INFO | Session created for recruiter_id=3
2026-03-28T04:00:55.539951+0530 | INFO | New recruiter: new@recruiter.com | My Company
2026-03-28T04:00:55.541815+0530 | INFO | POST /api/recruiter/signup → 200
2026-03-28T04:00:56.930904+0530 | ERROR | Welcome email failed for new@recruiter.com: The neuralhire.ai domain is not verified. Please, add and verify your domain on https://resend.com/domains
2026-03-28T04:01:00.776939+0530 | INFO | Session created for recruiter_id=3
2026-03-28T04:01:00.777356+0530 | INFO | Recruiter login: new@recruiter.com
2026-03-28T04:01:00.778657+0530 | INFO | POST /api/recruiter/login → 200
2026-03-28T04:01:40.863429+0530 | INFO | GET /api/health → 200
2026-03-28T04:01:46.038318+0530 | INFO | OPTIONS /api/auth/candidate/login → 200
2026-03-28T04:01:46.040577+0530 | INFO | POST /api/auth/candidate/login → 404
2026-03-28T04:01:49.920810+0530 | INFO | Recruiter new@recruiter.com fetched 0 candidates
2026-03-28T04:01:49.921674+0530 | INFO | GET /api/recruiter/candidates → 200
2026-03-28T04:02:05.797956+0530 | INFO | POST /api/auth/candidate/login → 404
2026-03-28T04:04:12.484629+0530 | INFO | ============================================================
2026-03-28T04:04:12.485289+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T04:04:12.485627+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T04:04:12.485864+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T04:04:12.486088+0530 | INFO | ============================================================
2026-03-28T04:04:47.447579+0530 | INFO | OPTIONS /api/recruiter/signup → 200
2026-03-28T04:04:47.555861+0530 | INFO | POST /api/recruiter/signup → 409
2026-03-28T04:04:58.404782+0530 | INFO | OPTIONS /api/recruiter/login → 200
2026-03-28T04:04:58.711545+0530 | INFO | Session created for recruiter_id=2
2026-03-28T04:04:58.712560+0530 | INFO | Recruiter login: tarunkumarsv60@gmail.com
2026-03-28T04:04:58.718109+0530 | INFO | POST /api/recruiter/login → 200
2026-03-28T04:04:58.774856+0530 | INFO | GET /api/recruiter/sessions → 404
2026-03-28T04:04:58.783986+0530 | INFO | GET /api/recruiter/sessions → 404
2026-03-28T04:06:35.802488+0530 | INFO | POST /api/auth/candidate/login → 404
2026-03-28T04:15:38.393683+0530 | INFO | ============================================================
2026-03-28T04:15:38.394138+0530 | INFO | NeuralHire OS API v2.0 — ONLINE
2026-03-28T04:15:38.394337+0530 | INFO | ARIA is ready to conduct interviews
2026-03-28T04:15:38.394476+0530 | INFO | Swagger: http://localhost:8000/docs
2026-03-28T04:15:38.394603+0530 | INFO | ============================================================
2026-03-28T04:15:43.171303+0530 | INFO | GET /api/health → 200
2026-03-28T04:15:43.571454+0530 | INFO | Demo data loaded: []
2026-03-28T04:15:43.572447+0530 | INFO | POST /api/demo/load → 200
2026-03-28T04:15:47.542528+0530 | INFO | Session created for recruiter_id=4
2026-03-28T04:15:47.543235+0530 | INFO | New recruiter: test@example.com | Test Company
2026-03-28T04:15:47.545134+0530 | INFO | POST /api/recruiter/signup → 200
2026-03-28T04:15:49.453645+0530 | ERROR | Welcome email failed for test@example.com: The neuralhire.ai domain is not verified. Please, add and verify your domain on https://resend.com/domains
2026-03-28T04:15:51.548404+0530 | INFO | Session created for recruiter_id=4
2026-03-28T04:15:51.548964+0530 | INFO | Recruiter login: test@example.com
2026-03-28T04:15:51.550422+0530 | INFO | POST /api/recruiter/login → 200
2026-03-28T04:15:55.002829+0530 | INFO | Recruiter test@example.com fetched 0 candidates
